0.1_train,0.2_train,0.3_train,0.4_train,0.5_train,0.6_train,0.7_train,0.8_train,0.9_train,model,model_target,target,0.1_val,0.2_val,0.3_val,0.4_val,0.5_val,0.6_val,0.7_val,0.8_val,0.9_val,0.1_test,0.2_test,0.3_test,0.4_test,0.5_test,0.6_test,0.7_test,0.8_test,0.9_test
1.88,1.63,1.55,1.56,1.56,1.55,1.53,1.51,1.49,Ridge,ridge_e_barrier_dft,e_barrier_dft,2.00 ± 0.16,1.70 ± 0.13,1.56 ± 0.12,1.58 ± 0.12,1.58 ± 0.12,1.58 ± 0.12,1.56 ± 0.12,1.57 ± 0.12,1.54 ± 0.12,1.99 ± 0.16,1.63 ± 0.13,1.54 ± 0.12,1.56 ± 0.12,1.54 ± 0.12,1.53 ± 0.12,1.52 ± 0.12,1.52 ± 0.12,1.51 ± 0.12
1.78,1.56,1.47,1.48,1.48,1.48,1.46,1.44,1.42,Ridge,ridge_q_barrier_dft,q_barrier_dft,1.86 ± 0.15,1.63 ± 0.12,1.51 ± 0.12,1.53 ± 0.12,1.54 ± 0.11,1.54 ± 0.11,1.53 ± 0.11,1.52 ± 0.11,1.50 ± 0.11,1.87 ± 0.15,1.55 ± 0.13,1.48 ± 0.12,1.48 ± 0.12,1.47 ± 0.12,1.46 ± 0.12,1.45 ± 0.12,1.45 ± 0.12,1.44 ± 0.12
2.71,2.39,2.35,2.28,2.21,2.18,2.15,2.12,2.11,Ridge,ridge_interaction_energies_dft,interaction_energies_dft,2.73 ± 0.22,2.38 ± 0.20,2.27 ± 0.19,2.22 ± 0.19,2.17 ± 0.19,2.15 ± 0.19,2.11 ± 0.19,2.10 ± 0.19,2.08 ± 0.19,2.64 ± 0.22,2.25 ± 0.20,2.31 ± 0.19,2.29 ± 0.19,2.19 ± 0.19,2.16 ± 0.18,2.13 ± 0.18,2.11 ± 0.18,2.08 ± 0.18
2.26,1.93,1.92,1.88,1.83,1.80,1.78,1.74,1.72,Ridge,ridge_distortion_energy_1_dft,distortion_energy_1_dft,2.20 ± 0.18,1.88 ± 0.17,1.87 ± 0.17,1.84 ± 0.16,1.82 ± 0.16,1.80 ± 0.17,1.76 ± 0.17,1.75 ± 0.16,1.75 ± 0.16,2.17 ± 0.17,1.89 ± 0.16,1.88 ± 0.15,1.84 ± 0.15,1.83 ± 0.15,1.79 ± 0.15,1.76 ± 0.15,1.75 ± 0.15,1.74 ± 0.15
0.58,0.49,0.48,0.46,0.45,0.44,0.44,0.43,0.42,Ridge,ridge_distortion_energy_0_dft,distortion_energy_0_dft,0.59 ± 0.05,0.47 ± 0.04,0.46 ± 0.04,0.45 ± 0.04,0.44 ± 0.04,0.44 ± 0.04,0.43 ± 0.04,0.42 ± 0.04,0.42 ± 0.04,0.60 ± 0.05,0.50 ± 0.04,0.49 ± 0.04,0.47 ± 0.04,0.46 ± 0.04,0.45 ± 0.04,0.44 ± 0.04,0.44 ± 0.04,0.44 ± 0.04
2.05,1.70,1.53,1.47,1.39,1.31,1.28,1.24,1.20,KRR,krr_e_barrier_dft,e_barrier_dft,1.96 ± 0.16,1.67 ± 0.13,1.52 ± 0.13,1.38 ± 0.12,1.31 ± 0.11,1.24 ± 0.10,1.19 ± 0.10,1.15 ± 0.10,1.11 ± 0.10,1.98 ± 0.15,1.68 ± 0.13,1.50 ± 0.12,1.42 ± 0.11,1.32 ± 0.11,1.26 ± 0.10,1.20 ± 0.10,1.17 ± 0.10,1.13 ± 0.09
2.57,1.91,1.67,1.59,1.47,1.38,1.34,1.27,1.23,KRR,krr_q_barrier_dft,q_barrier_dft,2.30 ± 0.20,1.90 ± 0.16,1.68 ± 0.15,1.52 ± 0.14,1.42 ± 0.12,1.34 ± 0.12,1.29 ± 0.11,1.24 ± 0.11,1.21 ± 0.11,2.36 ± 0.20,1.88 ± 0.16,1.67 ± 0.14,1.50 ± 0.13,1.40 ± 0.12,1.34 ± 0.11,1.27 ± 0.11,1.24 ± 0.10,1.20 ± 0.10
3.29,2.82,2.55,2.40,2.26,2.19,2.10,2.05,2.01,KRR,krr_interaction_energies_dft,interaction_energies_dft,2.96 ± 0.23,2.62 ± 0.21,2.37 ± 0.20,2.23 ± 0.19,2.12 ± 0.19,2.06 ± 0.18,2.04 ± 0.18,2.00 ± 0.18,1.92 ± 0.17,2.98 ± 0.23,2.62 ± 0.22,2.39 ± 0.20,2.26 ± 0.19,2.17 ± 0.18,2.08 ± 0.18,2.03 ± 0.17,1.99 ± 0.17,1.90 ± 0.16
2.45,2.04,1.96,1.85,1.77,1.69,1.63,1.59,1.55,KRR,krr_distortion_energy_1_dft,distortion_energy_1_dft,2.28 ± 0.21,2.02 ± 0.19,1.87 ± 0.17,1.79 ± 0.16,1.72 ± 0.16,1.68 ± 0.15,1.65 ± 0.15,1.61 ± 0.15,1.56 ± 0.14,2.32 ± 0.19,2.05 ± 0.18,1.89 ± 0.15,1.80 ± 0.14,1.75 ± 0.14,1.67 ± 0.14,1.63 ± 0.14,1.61 ± 0.14,1.56 ± 0.13
0.64,0.54,0.49,0.46,0.44,0.42,0.41,0.40,0.39,KRR,krr_distortion_energy_0_dft,distortion_energy_0_dft,0.55 ± 0.04,0.48 ± 0.04,0.44 ± 0.04,0.42 ± 0.03,0.41 ± 0.03,0.39 ± 0.03,0.38 ± 0.03,0.37 ± 0.03,0.36 ± 0.03,0.59 ± 0.05,0.52 ± 0.04,0.47 ± 0.04,0.45 ± 0.04,0.43 ± 0.04,0.42 ± 0.04,0.41 ± 0.03,0.39 ± 0.03,0.38 ± 0.03
1.99,1.66,1.51,1.41,1.32,1.23,1.18,1.14,1.11,SVR,svr_e_barrier_dft,e_barrier_dft,1.91 ± 0.15,1.66 ± 0.14,1.48 ± 0.13,1.34 ± 0.12,1.26 ± 0.11,1.17 ± 0.11,1.13 ± 0.10,1.09 ± 0.10,1.04 ± 0.10,1.93 ± 0.15,1.68 ± 0.14,1.48 ± 0.12,1.39 ± 0.11,1.30 ± 0.11,1.23 ± 0.11,1.16 ± 0.10,1.14 ± 0.10,1.07 ± 0.09
1.92,1.55,1.44,1.37,1.28,1.19,1.15,1.11,1.07,SVR,svr_q_barrier_dft,q_barrier_dft,1.85 ± 0.15,1.63 ± 0.13,1.46 ± 0.12,1.33 ± 0.12,1.26 ± 0.11,1.16 ± 0.11,1.11 ± 0.10,1.09 ± 0.10,1.03 ± 0.10,1.85 ± 0.15,1.61 ± 0.13,1.41 ± 0.12,1.31 ± 0.11,1.23 ± 0.11,1.15 ± 0.10,1.11 ± 0.10,1.09 ± 0.09,1.03 ± 0.09
2.82,2.40,2.23,2.14,2.05,1.96,1.89,1.87,1.82,SVR,svr_interaction_energies_dft,interaction_energies_dft,2.67 ± 0.22,2.41 ± 0.22,2.24 ± 0.21,2.11 ± 0.20,1.98 ± 0.21,1.92 ± 0.20,1.89 ± 0.19,1.83 ± 0.19,1.75 ± 0.18,2.66 ± 0.23,2.41 ± 0.23,2.14 ± 0.21,2.02 ± 0.20,1.96 ± 0.20,1.88 ± 0.20,1.83 ± 0.19,1.77 ± 0.18,1.65 ± 0.18
2.09,1.80,1.81,1.76,1.70,1.62,1.53,1.52,1.48,SVR,svr_distortion_energy_1_dft,distortion_energy_1_dft,2.08 ± 0.18,1.86 ± 0.18,1.84 ± 0.17,1.76 ± 0.16,1.72 ± 0.16,1.61 ± 0.15,1.56 ± 0.15,1.52 ± 0.15,1.46 ± 0.14,2.05 ± 0.17,1.90 ± 0.17,1.75 ± 0.15,1.67 ± 0.14,1.62 ± 0.14,1.52 ± 0.14,1.48 ± 0.14,1.44 ± 0.14,1.40 ± 0.13
0.51,0.47,0.45,0.42,0.42,0.40,0.39,0.38,0.37,SVR,svr_distortion_energy_0_dft,distortion_energy_0_dft,0.47 ± 0.04,0.43 ± 0.04,0.41 ± 0.04,0.39 ± 0.04,0.38 ± 0.03,0.36 ± 0.03,0.35 ± 0.03,0.34 ± 0.03,0.33 ± 0.03,0.49 ± 0.04,0.47 ± 0.04,0.44 ± 0.04,0.42 ± 0.04,0.42 ± 0.04,0.40 ± 0.04,0.39 ± 0.04,0.38 ± 0.04,0.37 ± 0.04
---,---,---,---,---,---,---,---,---,2 Layer NN,2_st_nn_e_barrier_dft,e_barrier_dft,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
---,---,---,---,---,---,---,---,---,4 Layer NN,4_st_nn_e_barrier_dft,e_barrier_dft,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
---,---,---,---,---,---,---,---,---,2 Layer NN,2_st_nn_q_barrier_dft,q_barrier_dft,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
---,---,---,---,---,---,---,---,---,4 Layer NN,4_st_nn_q_barrier_dft,q_barrier_dft,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
---,---,---,---,---,---,---,---,---,2 Layer NN,2_st_nn_interaction_energies_dft,interaction_energies_dft,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
---,---,---,---,---,---,---,---,---,4 Layer NN,4_st_nn_interaction_energies_dft,interaction_energies_dft,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
---,---,---,---,---,---,---,---,---,2 Layer NN,2_st_nn_distortion_energy_1_dft,distortion_energy_1_dft,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
---,---,---,---,---,---,---,---,---,4 Layer NN,4_st_nn_distortion_energy_1_dft,distortion_energy_1_dft,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
---,---,---,---,---,---,---,---,---,2 Layer NN,2_st_nn_distortion_energy_0_dft,distortion_energy_0_dft,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
---,---,---,---,---,---,---,---,---,4 Layer NN,4_st_nn_distortion_energy_0_dft,distortion_energy_0_dft,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
